id,nut_group,energy,protein,vita,fe,max_vol
39,child 0-23 month,1088.0,11.65,400.0,5.8,900
40,child 24-59 month,1204.0,12.9,400.0,5.8,1200
41,child 6-9 yr,1916.0,26.05,550.0,8.9,2200
42,adolescent female,2503.0,47.4,600.0,31.0,2500
43,adolescent male,3322.0,57.9,600.0,18.8,2700
44,adult,2602.0,46.0,550.0,21.55,2600
45,adolescent pregnant,2999.0,52.5,800.0,31.0,2500
46,pregnant,3098.0,51.1,800.0,21.55,2500
47,adolescent lact,3253.0,78.4,850.0,46.0,2500
48,lactating,3066.0,61.0,850.0,44.4,2500
49,adolescent all,2913.0,52.65,600.0,24.9,2600
50,adult male,2889.0,50.0,600.0,13.7,2700
51,adult female,2316.0,42.0,500.0,29.4,2500
